,paper,doi,research_field_label
32,http://orkg.org/orkg/resource/R110951,10.1002/ejic.202000148,Inorganic Chemistry
33,http://orkg.org/orkg/resource/R110964,10.1016/j.ccr.2016.12.007,Inorganic Chemistry
34,http://orkg.org/orkg/resource/R110972,10.1021/acs.organomet.9b00631,Inorganic Chemistry
35,http://orkg.org/orkg/resource/R110993,10.1039/c8dt04647f,Inorganic Chemistry
36,http://orkg.org/orkg/resource/R111005,10.1039/c7sc00739f,Inorganic Chemistry
37,http://orkg.org/orkg/resource/R111011,10.1016/j.ccr.2019.213098,Inorganic Chemistry
38,http://orkg.org/orkg/resource/R111023,10.1039/c8cc08120d,Inorganic Chemistry
39,http://orkg.org/orkg/resource/R111040,10.1021/ic00111a003,Inorganic Chemistry
40,http://orkg.org/orkg/resource/R111072,10.1142/s1088424611003446,Organic Chemistry
41,http://orkg.org/orkg/resource/R111101,10.1055/s-0028-1083187,Organic Chemistry
42,http://orkg.org/orkg/resource/R111111,10.1002/cber.19560891104,Organic Chemistry
43,http://orkg.org/orkg/resource/R111283,10.1145/3085228.3085278,Computer Sciences
44,http://orkg.org/orkg/resource/R111365,10.1007/s12160-011-9308-7,Science
45,http://orkg.org/orkg/resource/R12186,10.1149/1.2042910,Inorganic Chemistry
46,http://orkg.org/orkg/resource/R12208,10.18653/v1/n19-1423,Natural Language Processing
47,http://orkg.org/orkg/resource/R12228,10.1101/2020.01.25.919787,Computer Sciences
48,http://orkg.org/orkg/resource/R12239,10.1101/2020.01.23.916395,Computer Sciences
49,http://orkg.org/orkg/resource/R135489,10.3390/diagnostics9030104,Bioinformatics
50,http://orkg.org/orkg/resource/R135546,10.20944/preprints202105.0429.v1,Bioinformatics
51,http://orkg.org/orkg/resource/R135704,10.1021/jacs.9b10686,Physical Chemistry
52,http://orkg.org/orkg/resource/R135710,10.1021/ja9100886,Physical Chemistry
53,http://orkg.org/orkg/resource/R135878,10.1109/escience.2018.00027,Computer Sciences
54,http://orkg.org/orkg/resource/R135895,10.3390/nano10102068,Life Sciences
55,http://orkg.org/orkg/resource/R137053,10.1002/anie.200453765,Organic Chemistry
56,http://orkg.org/orkg/resource/R137059,10.1002/anie.200801447,Organic Chemistry
57,http://orkg.org/orkg/resource/R137062,10.1021/ja806244b,Organic Chemistry
58,http://orkg.org/orkg/resource/R137065,10.1021/ja8056503,Organic Chemistry
59,http://orkg.org/orkg/resource/R137068,10.1038/s41467-020-19944-x,Organic Chemistry
60,http://orkg.org/orkg/resource/R137073,10.1126/science.1200437,Organic Chemistry
61,http://orkg.org/orkg/resource/R137076,10.1021/acscatal.8b04172,Organic Chemistry
62,http://orkg.org/orkg/resource/R138423,10.1002/cssc.200900242,Organic Chemistry
63,http://orkg.org/orkg/resource/R138427,10.1021/ja4113462,Organic Chemistry
64,http://orkg.org/orkg/resource/R138430,10.1039/c5sc02923f,Organic Chemistry
65,http://orkg.org/orkg/resource/R138434,10.1038/s41929-018-0148-8,Organic Chemistry
66,http://orkg.org/orkg/resource/R138439,10.1021/acssuschemeng.7b03541,Organic Chemistry
67,http://orkg.org/orkg/resource/R138449,10.1016/j.chempr.2019.03.007,Organic Chemistry
68,http://orkg.org/orkg/resource/R138452,10.1021/acscatal.9b04813,Organic Chemistry
69,http://orkg.org/orkg/resource/R138527,10.1002/fld.4274,Control Theory
70,http://orkg.org/orkg/resource/R138532,10.1007/s00245-015-9315-3,Control Theory
71,http://orkg.org/orkg/resource/R138569,10.1021/ja016914i,Organic Chemistry
72,http://orkg.org/orkg/resource/R138574,10.1021/ja983197s,Organic Chemistry
73,http://orkg.org/orkg/resource/R138577,10.1002/adsc.200505233,Organic Chemistry
74,http://orkg.org/orkg/resource/R138580,10.1016/j.tet.2013.07.056,Organic Chemistry
75,http://orkg.org/orkg/resource/R138584,10.1038/s41929-018-0187-1,Organic Chemistry
76,http://orkg.org/orkg/resource/R138589,10.1038/s41557-018-0157-x,Organic Chemistry
77,http://orkg.org/orkg/resource/R138661,10.1109/ccbd.2014.42,Bioinformatics
78,http://orkg.org/orkg/resource/R138679,10.1109/mlsp.2015.7324379,Bioinformatics
79,http://orkg.org/orkg/resource/R138684,10.1038/srep38897,Bioinformatics
80,http://orkg.org/orkg/resource/R138687,10.1109/iscbi.2017.8053552,Bioinformatics
81,http://orkg.org/orkg/resource/R138690,10.1109/globalsip.2017.8309103,Bioinformatics
82,http://orkg.org/orkg/resource/R138698,10.12783/dtcse/csma2017/17335,Bioinformatics
83,http://orkg.org/orkg/resource/R138702,10.1109/access.2017.2762703,Bioinformatics
84,http://orkg.org/orkg/resource/R138710,10.1371/journal.pone.0194856,Bioinformatics
85,http://orkg.org/orkg/resource/R138715,10.1007/s10278-018-0093-8,Bioinformatics
86,http://orkg.org/orkg/resource/R138719,10.1109/tbme.2019.2895663,Bioinformatics
87,http://orkg.org/orkg/resource/R138725,10.1002/hbm.24423,Bioinformatics
88,http://orkg.org/orkg/resource/R138729,10.1038/s41592-018-0235-4,Bioinformatics
89,http://orkg.org/orkg/resource/R138742,10.1016/j.cmpb.2018.04.012,Bioinformatics
90,http://orkg.org/orkg/resource/R138756,10.1109/tnsre.2018.2884641,Bioinformatics
91,http://orkg.org/orkg/resource/R138763,10.1007/s11517-019-01959-2,Bioinformatics
92,http://orkg.org/orkg/resource/R138769,10.1016/j.jbi.2017.04.001,Bioinformatics
93,http://orkg.org/orkg/resource/R138776,10.1136/eb-2017-102688,Bioinformatics
94,http://orkg.org/orkg/resource/R138782,10.1016/j.jbi.2017.05.008,Bioinformatics
95,http://orkg.org/orkg/resource/R138786,10.1016/j.jbi.2017.06.010,Bioinformatics
96,http://orkg.org/orkg/resource/R138791,10.1016/j.jad.2018.01.019,Bioinformatics
97,http://orkg.org/orkg/resource/R138796,10.3389/fpsyt.2018.00290,Bioinformatics
98,http://orkg.org/orkg/resource/R138802,10.1371/journal.pone.0204493,Bioinformatics
99,http://orkg.org/orkg/resource/R138807,10.1002/humu.23272,Bioinformatics
100,http://orkg.org/orkg/resource/R138814,10.1109/bibm.2017.8217916,Bioinformatics
101,http://orkg.org/orkg/resource/R138820,10.1186/s12859-018-2469-7,Bioinformatics
102,http://orkg.org/orkg/resource/R138825,10.1126/science.aat8464,Bioinformatics
103,http://orkg.org/orkg/resource/R138859,10.1109/acii.2015.7344620,Bioinformatics
104,http://orkg.org/orkg/resource/R138865,10.1109/iscslp.2016.7918439,Bioinformatics
105,http://orkg.org/orkg/resource/R138870,10.1145/2988257.2988267,Bioinformatics
106,http://orkg.org/orkg/resource/R138876,10.1109/apsipa.2017.8282296,Bioinformatics
107,http://orkg.org/orkg/resource/R138879,10.1109/icot.2017.8336090,Bioinformatics
108,http://orkg.org/orkg/resource/R138884,10.1109/fg.2017.95,Bioinformatics
109,http://orkg.org/orkg/resource/R138927,10.1109/acii.2017.8273639,Bioinformatics
110,http://orkg.org/orkg/resource/R138931,10.1109/acii.2017.8273643,Bioinformatics
111,http://orkg.org/orkg/resource/R138934,10.21437/interspeech.2017-120,Bioinformatics
112,http://orkg.org/orkg/resource/R138940,10.1016/j.jbi.2018.05.007,Bioinformatics
113,http://orkg.org/orkg/resource/R138944,10.1109/access.2018.2879619,Bioinformatics
114,http://orkg.org/orkg/resource/R138951,10.1109/fg.2018.00032,Bioinformatics
115,http://orkg.org/orkg/resource/R138959,10.1109/taffc.2017.2650899,Bioinformatics
116,http://orkg.org/orkg/resource/R138964,10.1109/smc.2018.00157,Bioinformatics
117,http://orkg.org/orkg/resource/R138969,10.1109/tcds.2017.2721552,Bioinformatics
118,http://orkg.org/orkg/resource/R138974,10.1109/embc.2018.8513610,Bioinformatics
119,http://orkg.org/orkg/resource/R138984,10.1109/tnnls.2019.2899884,Bioinformatics
120,http://orkg.org/orkg/resource/R138992,10.1145/2647868.2654945,Bioinformatics
121,http://orkg.org/orkg/resource/R138998,10.1109/icme.2014.6890213,Bioinformatics
122,http://orkg.org/orkg/resource/R139004,10.1038/srep45141,Bioinformatics
123,http://orkg.org/orkg/resource/R139009,10.1007/978-3-319-55753-3_40,Bioinformatics
124,http://orkg.org/orkg/resource/R139014,10.1109/tkde.2017.2686382,Bioinformatics
125,http://orkg.org/orkg/resource/R139024,10.1109/bibm.2018.8621230,Bioinformatics
126,http://orkg.org/orkg/resource/R139028,10.1177/1178222618792860,Bioinformatics
127,http://orkg.org/orkg/resource/R139033,10.1186/s12911-018-0632-8,Bioinformatics
128,http://orkg.org/orkg/resource/R139038,10.18653/v1/w18-0607,Bioinformatics
129,http://orkg.org/orkg/resource/R139042,10.1016/j.cpr.2012.09.007,Bioinformatics
130,http://orkg.org/orkg/resource/R139047,10.1109/icosc.2019.8665525,Bioinformatics
131,http://orkg.org/orkg/resource/R139324,10.1021/ac3012895,Analytical Chemistry
132,http://orkg.org/orkg/resource/R139328,10.1002/adma.201303230,Analytical Chemistry
133,http://orkg.org/orkg/resource/R139332,10.1016/j.synthmet.2013.09.034,Analytical Chemistry
134,http://orkg.org/orkg/resource/R139336,10.1063/1.4903358,Analytical Chemistry
135,http://orkg.org/orkg/resource/R139340,10.1039/c4ta06024e,Analytical Chemistry
136,http://orkg.org/orkg/resource/R139343,10.1088/2053-1583/3/2/025002,Analytical Chemistry
137,http://orkg.org/orkg/resource/R139346,10.1002/anie.201709558,Analytical Chemistry
138,http://orkg.org/orkg/resource/R139351,10.1016/j.snb.2016.08.163,Analytical Chemistry
139,http://orkg.org/orkg/resource/R139374,10.1021/jp106098z,Analytical Chemistry
140,http://orkg.org/orkg/resource/R139377,10.1039/c2nr33164k,Analytical Chemistry
141,http://orkg.org/orkg/resource/R139380,10.1021/am405088q,Analytical Chemistry
142,http://orkg.org/orkg/resource/R139383,10.1016/j.proeng.2016.11.181,Analytical Chemistry
143,http://orkg.org/orkg/resource/R139386,10.1039/c6ra26280e,Analytical Chemistry
144,http://orkg.org/orkg/resource/R139392,10.1021/jacs.7b08840,Analytical Chemistry
145,http://orkg.org/orkg/resource/R139396,10.1039/c7ra03864j,Analytical Chemistry
146,http://orkg.org/orkg/resource/R140445,10.1038/ncomms9632,Analytical Chemistry
147,http://orkg.org/orkg/resource/R140498,10.1021/acsnano.5b01961,Analytical Chemistry
148,http://orkg.org/orkg/resource/R140505,10.1016/j.snb.2012.02.036,Analytical Chemistry
149,http://orkg.org/orkg/resource/R140509,10.1063/1.4742327,Analytical Chemistry
150,http://orkg.org/orkg/resource/R140514,10.1021/nn5015215,Analytical Chemistry
151,http://orkg.org/orkg/resource/R140519,10.1021/nn400026u,Analytical Chemistry
152,http://orkg.org/orkg/resource/R140522,10.1088/2053-1583/aa57fe,Analytical Chemistry
153,http://orkg.org/orkg/resource/R140526,10.1016/j.snb.2013.05.050,Analytical Chemistry
154,http://orkg.org/orkg/resource/R140530,10.1016/j.snb.2013.09.078,Analytical Chemistry
155,http://orkg.org/orkg/resource/R140535,10.1021/acsnano.5b04343,Analytical Chemistry
156,http://orkg.org/orkg/resource/R140539,10.1021/jp201816d,Analytical Chemistry
157,http://orkg.org/orkg/resource/R140731,10.1002/adma.201001798,Analytical Chemistry
158,http://orkg.org/orkg/resource/R140739,10.1016/j.snb.2012.05.031,Analytical Chemistry
159,http://orkg.org/orkg/resource/R140743,10.1038/srep12294,Analytical Chemistry
160,http://orkg.org/orkg/resource/R140748,10.1016/j.snb.2014.07.120,Analytical Chemistry
161,http://orkg.org/orkg/resource/R140760,10.1039/c5nr01924a,Analytical Chemistry
162,http://orkg.org/orkg/resource/R140764,10.1016/j.carbon.2014.09.023,Analytical Chemistry
163,http://orkg.org/orkg/resource/R141003,10.18653/v1/2021.semeval-1.6,Natural Language Processing
164,http://orkg.org/orkg/resource/R141010,10.18653/v1/2021.unimplicit-1.4,Natural Language Processing
165,http://orkg.org/orkg/resource/R141018,10.18653/v1/d19-5729,Natural Language Processing
166,http://orkg.org/orkg/resource/R141060,10.3115/v1/w14-1701,Natural Language Processing
167,http://orkg.org/orkg/resource/R141066,10.18653/v1/w18-0604,Natural Language Processing
168,http://orkg.org/orkg/resource/R141070,10.18653/v1/w18-3219,Natural Language Processing
169,http://orkg.org/orkg/resource/R141092,10.18653/v1/w19-4107,Natural Language Processing
170,http://orkg.org/orkg/resource/R141661,10.1021/acsami.5b08782,Materials Chemistry
171,http://orkg.org/orkg/resource/R141687,10.1016/j.carbon.2016.04.003,Materials Chemistry
172,http://orkg.org/orkg/resource/R141693,10.1016/j.snb.2016.09.032,Materials Chemistry
173,http://orkg.org/orkg/resource/R141701,10.1021/acsnano.6b06670,Materials Chemistry
174,http://orkg.org/orkg/resource/R141708,10.1039/c7tb00810d,Materials Chemistry
175,http://orkg.org/orkg/resource/R141715,10.1016/j.apsusc.2017.08.133,Materials Chemistry
176,http://orkg.org/orkg/resource/R141720,10.1016/j.saa.2019.117161,Materials Chemistry
177,http://orkg.org/orkg/resource/R141724,10.1039/c8na00255j,Materials Chemistry
178,http://orkg.org/orkg/resource/R141735,10.1016/j.dyepig.2019.107952,Materials Chemistry
179,http://orkg.org/orkg/resource/R141748,10.1038/s41598-020-59958-5,Materials Chemistry
180,http://orkg.org/orkg/resource/R141814,10.1021/jacs.0c04003,Physical Chemistry
181,http://orkg.org/orkg/resource/R142138,10.1021/nl300389y,Materials Chemistry
182,http://orkg.org/orkg/resource/R142147,10.1088/0957-0233/20/2/025305,Materials Chemistry
183,http://orkg.org/orkg/resource/R142153,10.1021/nl1036098,Materials Chemistry
184,http://orkg.org/orkg/resource/R142165,10.1016/j.matdes.2019.108188,Materials Chemistry
185,http://orkg.org/orkg/resource/R142171,10.1063/1.1538181,Materials Chemistry
186,http://orkg.org/orkg/resource/R142209,10.1021/jp0686689,Materials Chemistry
187,http://orkg.org/orkg/resource/R142214,10.1088/0957-4484/14/8/304,Materials Chemistry
188,http://orkg.org/orkg/resource/R142218,10.1063/1.2123384,Materials Chemistry
189,http://orkg.org/orkg/resource/R142221,10.1063/1.3233940,Materials Chemistry
190,http://orkg.org/orkg/resource/R142225,10.1016/j.sna.2008.09.019,Materials Chemistry
191,http://orkg.org/orkg/resource/R142300,10.1007/978-3-319-31277-4_10,Semantic Web
192,http://orkg.org/orkg/resource/R142305,10.1109/icsc.2009.61,Semantic Web
193,http://orkg.org/orkg/resource/R142308,10.1007/978-0-387-87685-6_6,Semantic Web
194,http://orkg.org/orkg/resource/R142311,10.1145/1066677.1066828,Semantic Web
195,http://orkg.org/orkg/resource/R142319,10.1109/icsc.2016.22,Semantic Web
196,http://orkg.org/orkg/resource/R142323,10.1109/icsc.2009.61,Semantic Web
197,http://orkg.org/orkg/resource/R142326,10.1007/11575801_15,Semantic Web
198,http://orkg.org/orkg/resource/R142349,10.1109/wi.2006.114,Semantic Web
199,http://orkg.org/orkg/resource/R142352,10.1109/cbms.2006.7,Semantic Web
200,http://orkg.org/orkg/resource/R142380,10.1109/sera.2006.4,Semantic Web
201,http://orkg.org/orkg/resource/R142405,10.1016/j.procs.2019.01.039,Semantic Web
202,http://orkg.org/orkg/resource/R142416,10.1007/978-3-642-10583-8_16,Semantic Web
203,http://orkg.org/orkg/resource/R142425,10.1007/3-540-45441-1_26,Semantic Web
204,http://orkg.org/orkg/resource/R142428,10.1007/s10009-006-0002-1,Semantic Web
205,http://orkg.org/orkg/resource/R142487,10.1109/wisa.2015.10,Semantic Web
206,http://orkg.org/orkg/resource/R142508,10.1109/fskd.2009.111,Semantic Web
207,http://orkg.org/orkg/resource/R142543,10.3115/1118220.1118226,Semantic Web
208,http://orkg.org/orkg/resource/R142546,10.1007/978-3-540-72667-8_11,Semantic Web
209,http://orkg.org/orkg/resource/R142560,10.4018/jswis.2006010103,Semantic Web
210,http://orkg.org/orkg/resource/R142570,10.1007/978-3-540-30475-3_3,Semantic Web
211,http://orkg.org/orkg/resource/R142573,10.1016/j.websem.2004.10.001,Semantic Web
212,http://orkg.org/orkg/resource/R142576,10.3233/978-1-61499-084-0-133,Semantic Web
213,http://orkg.org/orkg/resource/R142705,10.4018/978-1-61520-859-3.ch011,Semantic Web
214,http://orkg.org/orkg/resource/R143857,10.1007/3-540-34416-0_28,Semantic Web
215,http://orkg.org/orkg/resource/R143870,10.1007/11762256_31,Semantic Web
216,http://orkg.org/orkg/resource/R143873,10.1007/978-3-642-14000-6_4,Semantic Web
217,http://orkg.org/orkg/resource/R143890,10.1007/11930334_5,Semantic Web
218,http://orkg.org/orkg/resource/R143893,10.1016/j.websem.2007.11.004,Semantic Web
219,http://orkg.org/orkg/resource/R143896,10.1145/1506250.1506255,Semantic Web
220,http://orkg.org/orkg/resource/R143899,10.5815/ijitcs.2014.12.05,Semantic Web
221,http://orkg.org/orkg/resource/R143905,10.1007/978-3-642-30220-6_20,Semantic Web
222,http://orkg.org/orkg/resource/R143908,10.1007/978-3-642-02121-3_48,Semantic Web
223,http://orkg.org/orkg/resource/R143919,10.4018/jswis.2012070102,Semantic Web
224,http://orkg.org/orkg/resource/R143962,10.1007/978-3-642-13489-0_46,Semantic Web
225,http://orkg.org/orkg/resource/R144060,10.1002/chem.201402027,Physical Chemistry
226,http://orkg.org/orkg/resource/R144071,10.1038/srep06701,Physical Chemistry
227,http://orkg.org/orkg/resource/R144074,10.1039/c5cc01088h,Physical Chemistry
228,http://orkg.org/orkg/resource/R144081,10.1039/c5cp04400f,Physical Chemistry
229,http://orkg.org/orkg/resource/R144086,10.1039/c5an00420a,Physical Chemistry
230,http://orkg.org/orkg/resource/R144090,10.1021/acs.analchem.6b02675,Physical Chemistry
231,http://orkg.org/orkg/resource/R144122,10.1007/978-981-10-6620-7_4,Semantic Web
232,http://orkg.org/orkg/resource/R145267,10.1103/PhysRevA.8.774,Science
233,http://orkg.org/orkg/resource/R145270,10.1103/PhysRevA.36.2265,Science
234,http://orkg.org/orkg/resource/R145273,10.1103/PhysRevA.38.2690,Science
235,http://orkg.org/orkg/resource/R145276,10.1103/PhysRevA.45.8795,Science
236,http://orkg.org/orkg/resource/R145280,10.1088/0953-4075/27/22/010,Science
237,http://orkg.org/orkg/resource/R145283,10.1103/PhysRevA.53.2225,Science
238,http://orkg.org/orkg/resource/R145757,10.18653/v1/s18-1111,Natural Language Processing
239,http://orkg.org/orkg/resource/R145798,10.18653/v1/p16-1105,Natural Language Processing
240,http://orkg.org/orkg/resource/R145803,10.18653/v1/d17-1018,Natural Language Processing
241,http://orkg.org/orkg/resource/R146779,10.1002/aenm.201200911,Materials Chemistry
242,http://orkg.org/orkg/resource/R146794,10.1021/ja5110602,Materials Chemistry
243,http://orkg.org/orkg/resource/R146808,10.1039/c6ee02598f,Materials Chemistry
244,http://orkg.org/orkg/resource/R146812,10.1021/acs.chemmater.6b00131,Materials Chemistry
245,http://orkg.org/orkg/resource/R146842,10.1021/acsami.7b05417,Materials Chemistry
246,http://orkg.org/orkg/resource/R146853,10.18653/v1/2020.acl-main.670,Natural Language Processing
247,http://orkg.org/orkg/resource/R146865,10.1039/c6ta04358e,Materials Chemistry
248,http://orkg.org/orkg/resource/R146872,10.18653/v1/p19-1513,Natural Language Processing
249,http://orkg.org/orkg/resource/R146888,10.1039/c4ee03424d,Materials Chemistry
250,http://orkg.org/orkg/resource/R146907,10.1039/c6ee00315j,Materials Chemistry
251,http://orkg.org/orkg/resource/R146918,10.1002/adma.201602642,Materials Chemistry
252,http://orkg.org/orkg/resource/R146924,10.1021/acsenergylett.8b00627,Materials Chemistry
253,http://orkg.org/orkg/resource/R146945,10.1115/1.4052312,Control Theory
254,http://orkg.org/orkg/resource/R146974,10.23919/ecc.2019.8795639,Control Theory
255,http://orkg.org/orkg/resource/R146978,10.1109/tac.2020.3000182,Control Theory
256,http://orkg.org/orkg/resource/R146985,10.1021/jacs.7b00566,Materials Chemistry
257,http://orkg.org/orkg/resource/R146997,10.1021/acs.chemmater.8b01319,Materials Chemistry
258,http://orkg.org/orkg/resource/R147036,10.1016/j.procs.2020.09.061,Semantic Web
259,http://orkg.org/orkg/resource/R147116,10.1007/11519645_80,Natural Language Processing
260,http://orkg.org/orkg/resource/R147120,10.1007/978-3-030-45442-5_21,Natural Language Processing
261,http://orkg.org/orkg/resource/R147122,10.1186/s12859-015-0564-6,Natural Language Processing
262,http://orkg.org/orkg/resource/R147125,10.1145/3184558.3192301,Natural Language Processing
263,http://orkg.org/orkg/resource/R147129,10.1145/3308558.3313699,Natural Language Processing
264,http://orkg.org/orkg/resource/R147657,10.1145/2505515.2505613,Natural Language Processing
265,http://orkg.org/orkg/resource/R147898,10.1021/jacs.6b09110,Materials Chemistry
266,http://orkg.org/orkg/resource/R147918,10.1021/jacs.6b02004,Materials Chemistry
267,http://orkg.org/orkg/resource/R147944,10.1039/c7ee00844a,Materials Chemistry
268,http://orkg.org/orkg/resource/R147987,10.1007/978-3-319-68204-4_22,Natural Language Processing
269,http://orkg.org/orkg/resource/R148043,10.1093/bioinformatics/bth227,Bioinformatics
270,http://orkg.org/orkg/resource/R148050,10.1093/bioinformatics/18.8.1124,Bioinformatics
271,http://orkg.org/orkg/resource/R148204,10.1039/c7qm00025a,Materials Chemistry
272,http://orkg.org/orkg/resource/R148232,10.1002/adma.201702125,Materials Chemistry
273,http://orkg.org/orkg/resource/R148246,10.1039/c7ta01143a,Materials Chemistry
274,http://orkg.org/orkg/resource/R148537,10.1002/adma.201704510,Materials Chemistry
275,http://orkg.org/orkg/resource/R148599,10.1002/meet.1450400109,Bioinformatics
276,http://orkg.org/orkg/resource/R148606,10.1002/adma.201701308,Materials Chemistry
277,http://orkg.org/orkg/resource/R148630,10.1002/adma.201704713,Materials Chemistry
278,http://orkg.org/orkg/resource/R148641,10.1016/j.scib.2017.10.017,Materials Chemistry
279,http://orkg.org/orkg/resource/R148652,10.1002/adma.201707150,Materials Chemistry
280,http://orkg.org/orkg/resource/R148663,10.1021/jacs.7b13239,Materials Chemistry
281,http://orkg.org/orkg/resource/R149719,10.18653/v1/2021.findings-acl.165,Natural Language Processing
282,http://orkg.org/orkg/resource/R149916,10.1109/iccsnt.2011.6182514,Semantic Web
283,http://orkg.org/orkg/resource/R149947,10.1109/sita.2016.7772310,Semantic Web
284,http://orkg.org/orkg/resource/R149995,10.1109/ic4.2013.6653737,Semantic Web
285,http://orkg.org/orkg/resource/R150075,10.1007/BF02650179,Science
286,http://orkg.org/orkg/resource/R150475,10.1093/bib/bbaa054,Bioinformatics
287,http://orkg.org/orkg/resource/R150517,10.1016/j.jbi.2010.11.001,Bioinformatics
288,http://orkg.org/orkg/resource/R150537,10.1186/1471-2105-11-85,Bioinformatics
289,http://orkg.org/orkg/resource/R150549,10.3115/1218955.1219010,Bioinformatics
290,http://orkg.org/orkg/resource/R150566,10.1093/nutrit/nuaa081,Life Sciences
291,http://orkg.org/orkg/resource/R151315,10.18653/v1/2021.acl-long.59,Natural Language Processing
292,http://orkg.org/orkg/resource/R152023,10.1016/b978-0-12-374711-2.01002-0,Life Sciences
293,http://orkg.org/orkg/resource/R154290,10.1007/978-3-030-30796-7_5,Natural Language Processing
294,http://orkg.org/orkg/resource/R154294,10.18653/v1/p16-2033,Natural Language Processing
295,http://orkg.org/orkg/resource/R154399,10.1039/c5cc01900a,Organic Chemistry
296,http://orkg.org/orkg/resource/R154414,10.1016/j.apcata.2011.10.050,Organic Chemistry
297,http://orkg.org/orkg/resource/R154426,10.1002/anie.201610405,Organic Chemistry
298,http://orkg.org/orkg/resource/R154435,10.1016/j.apcata.2010.06.009,Organic Chemistry
299,http://orkg.org/orkg/resource/R154440,10.1021/acscatal.6b02368,Organic Chemistry
300,http://orkg.org/orkg/resource/R154448,10.1016/j.apcatb.2010.10.025,Organic Chemistry
301,http://orkg.org/orkg/resource/R154455,10.1002/cctc.201300096,Organic Chemistry
302,http://orkg.org/orkg/resource/R154460,10.1039/c7gc02414b,Organic Chemistry
303,http://orkg.org/orkg/resource/R154468,10.1021/sc300157d,Organic Chemistry
304,http://orkg.org/orkg/resource/R154483,10.1016/j.ceramint.2013.07.009,Organic Chemistry
305,http://orkg.org/orkg/resource/R154496,10.1016/j.apsusc.2016.06.134,Organic Chemistry
306,http://orkg.org/orkg/resource/R154509,10.1016/j.molcata.2010.07.015,Organic Chemistry
307,http://orkg.org/orkg/resource/R154521,10.1016/j.apsusc.2018.09.192,Organic Chemistry
308,http://orkg.org/orkg/resource/R154534,10.1016/j.apcatb.2017.10.056,Organic Chemistry
309,http://orkg.org/orkg/resource/R154543,10.1039/c1jm10301f,Organic Chemistry
310,http://orkg.org/orkg/resource/R154553,10.1016/j.apcata.2009.09.046,Organic Chemistry
311,http://orkg.org/orkg/resource/R154562,10.1016/j.apcatb.2011.05.005,Organic Chemistry
312,http://orkg.org/orkg/resource/R155854,10.1021/cr300503r,Physical Chemistry
313,http://orkg.org/orkg/resource/R155874,10.1016/j.jorganchem.2014.10.037,Physical Chemistry
